zipcode,state,totalValidRegistrations,ihpReferrals,ihpEligible,ihpAmount,FIP_disaster_count,average_project,approved_rate,pop_total,pop_white,pop_black,pop_latino,median_income,application_per_thousand,approval_per_thousand,pct_black,pct_white,pct_latino,non_white
70096,LA,27.0,24.0,12.0,94708.12,81.0,7892.343333333333,0.4444444444444444,,,,,,,,,,,
70097,LA,3.0,3.0,2.0,1000.0,87.0,500.0,0.6666666666666666,,,,,,,,,,,
70101,LA,3.0,3.0,2.0,4000.0,81.0,2000.0,0.6666666666666666,,,,,,,,,,,
70102,LA,1.0,1.0,1.0,2000.0,35.0,2000.0,1.0,,,,,,,,,,,
70108,LA,1.0,1.0,1.0,17733.94,35.0,17733.94,1.0,,,,,,,,,,,
70110,LA,6.0,5.0,5.0,22421.03,84.0,4484.206,0.8333333333333334,,,,,,,,,,,
70111,LA,4.0,2.0,2.0,7653.0,35.0,3826.5,0.5,,,,,,,,,,,
70112,LA,9443.0,8302.0,5939.0,40661721.35,872.0,6846.560254251558,0.6289314836386741,3552.0,1465.0,1793.0,231.0,22965.0,0.002658502252252252,0.0016720157657657657,0.504786036036036,0.4124436936936937,0.06503378378378379,0.5875563063063063
70113,LA,17105.0,15267.0,10592.0,73474835.92,689.0,6936.823632930514,0.6192341420637241,8588.0,1711.0,5860.0,1527.0,20432.0,0.001991732650209595,0.0012333488588728459,0.6823474615742897,0.19923148579413136,0.17780624126688402,0.8007685142058687
70114,LA,39877.0,35473.0,23670.0,120993072.51,1096.0,5111.663392902408,0.5935752438749153,23654.0,4648.0,18140.0,883.0,20136.0,0.001685845945717426,0.0010006764183647585,0.7668893210450664,0.19649953496237424,0.03732983850511541,0.8035004650376257
70115,LA,47518.0,42892.0,31127.0,176629982.89999998,1114.0,5674.494262216082,0.655057031019824,34831.0,23892.0,8927.0,1757.0,45111.0,0.0013642444948465447,0.0008936579483793172,0.25629468002641326,0.6859406850219631,0.05044357038270506,0.3140593149780368
