zipcode,state,totalValidRegistrations,ihpReferrals,ihpEligible,ihpAmount,FIP_disaster_count,average_project,approved_rate
74012,OK,161.0,140.0,45.0,241577.15,70,5368.381111111111,0.2795031055900621
74014,OK,186.0,165.0,46.0,216764.07,70,4712.262391304348,0.24731182795698925
74015,OK,35.0,32.0,16.0,32676.129999999997,128,2042.2581249999998,0.45714285714285713
74016,OK,52.0,44.0,22.0,142867.62,88,6493.982727272727,0.4230769230769231
74017,OK,128.0,107.0,67.0,485812.05000000005,29,7250.926119402986,0.5234375
74018,OK,1.0,1.0,1.0,7480.54,29,7480.54,1.0
74019,OK,49.0,43.0,24.0,111417.68999999999,29,4642.4037499999995,0.4897959183673469
74020,OK,28.0,23.0,12.0,93158.94,69,7763.245,0.42857142857142855
74021,OK,79.0,68.0,46.0,235010.35,97,5108.920652173913,0.5822784810126582
74022,OK,20.0,15.0,9.0,78619.58,30,8735.50888888889,0.45
74023,OK,22.0,16.0,9.0,59716.44,74,6635.16,0.4090909090909091
74026,OK,5.0,4.0,2.0,6016.85,40,3008.425,0.4
74027,OK,33.0,22.0,14.0,222842.29,30,15917.30642857143,0.42424242424242425
74028,OK,6.0,5.0,4.0,11662.74,46,2915.685,0.6666666666666666
74029,OK,48.0,39.0,22.0,55964.47,30,2543.8395454545457,0.4583333333333333
74030,OK,35.0,28.0,9.0,129049.92,46,14338.88,0.2571428571428571
74032,OK,7.0,7.0,5.0,39184.59,34,7836.918,0.7142857142857143
74033,OK,38.0,32.0,9.0,40611.23,38,4512.358888888889,0.23684210526315788
74035,OK,73.0,62.0,40.0,309712.56000000006,39,7742.814000000001,0.547945205479452
74036,OK,82.0,72.0,33.0,209635.9,90,6352.60303030303,0.4024390243902439
74037,OK,66.0,55.0,14.0,58058.07,38,4147.005,0.21212121212121213
74038,OK,21.0,14.0,5.0,131405.44,81,26281.088,0.23809523809523808
74039,OK,17.0,16.0,5.0,38943.22,46,7788.644,0.29411764705882354
74041,OK,4.0,4.0,1.0,6920.71,46,6920.71,0.25
74042,OK,18.0,9.0,3.0,9876.96,30,3292.3199999999997,0.16666666666666666
74044,OK,528.0,432.0,254.0,4584748.619999999,81,18050.191417322832,0.4810606060606061
74047,OK,55.0,47.0,25.0,148510.41,169,5940.4164,0.45454545454545453
74048,OK,127.0,102.0,49.0,337321.02,30,6884.102448979592,0.3858267716535433
74053,OK,22.0,19.0,13.0,84421.59000000001,67,6493.968461538462,0.5909090909090909
74054,OK,13.0,13.0,7.0,58819.939999999995,39,8402.84857142857,0.5384615384615384
74055,OK,87.0,72.0,31.0,167172.76,67,5392.669677419355,0.3563218390804598
74056,OK,34.0,29.0,12.0,36662.06,86,3055.1716666666666,0.35294117647058826
74058,OK,27.0,23.0,12.0,52172.51,35,4347.7091666666665,0.4444444444444444
74059,OK,14.0,9.0,3.0,17827.67,74,5942.556666666666,0.21428571428571427
74060,OK,4.0,4.0,2.0,18587.37,39,9293.685,0.5
74061,OK,12.0,10.0,4.0,32434.95,30,8108.7375,0.3333333333333333
74062,OK,3.0,3.0,2.0,18007.88,34,9003.94,0.6666666666666666
74063,OK,454.0,405.0,279.0,3305963.4499999993,166,11849.331362007166,0.6145374449339207
74066,OK,345.0,297.0,50.0,156311.87,114,3126.2374,0.14492753623188406
74070,OK,197.0,171.0,97.0,596424.4299999999,136,6148.705463917525,0.49238578680203043
74072,OK,56.0,31.0,25.0,350730.35,30,14029.214,0.44642857142857145
74073,OK,90.0,76.0,37.0,250148.77000000002,77,6760.777567567568,0.4111111111111111
74074,OK,177.0,140.0,81.0,332881.52,77,4109.6483950617285,0.4576271186440678
74075,OK,62.0,54.0,30.0,92894.67,110,3096.489,0.4838709677419355
74079,OK,115.0,98.0,29.0,67968.36,78,2343.736551724138,0.25217391304347825
74080,OK,16.0,14.0,7.0,29608.829999999998,59,4229.8328571428565,0.4375
74081,OK,10.0,9.0,2.0,2899.19,35,1449.595,0.2
74083,OK,8.0,6.0,4.0,31910.239999999998,60,7977.5599999999995,0.5
74085,OK,8.0,7.0,5.0,45316.47,34,9063.294,0.625
74101,OK,2.0,2.0,1.0,1039.48,38,1039.48,0.5
74102,OK,1.0,1.0,1.0,1875.87,38,1875.87,1.0
74103,OK,9.0,7.0,6.0,47029.52,38,7838.253333333333,0.6666666666666666
74104,OK,519.0,509.0,346.0,2170518.94,163,6273.17612716763,0.6666666666666666
74105,OK,93.0,75.0,29.0,133148.39,38,4591.323793103449,0.3118279569892473
74106,OK,268.0,230.0,75.0,188841.90000000002,124,2517.8920000000003,0.2798507462686567
74107,OK,129.0,99.0,29.0,89591.42,38,3089.3593103448275,0.2248062015503876
74108,OK,21.0,18.0,4.0,21247.05,70,5311.7625,0.19047619047619047
74110,OK,223.0,211.0,111.0,499970.36,70,4504.237477477477,0.4977578475336323
74112,OK,104.0,85.0,23.0,81755.89,38,3554.6039130434783,0.22115384615384615
74114,OK,42.0,33.0,11.0,39734.46000000001,38,3612.223636363637,0.2619047619047619
74115,OK,185.0,158.0,60.0,144674.16,38,2411.236,0.32432432432432434
74116,OK,17.0,16.0,8.0,40199.51,67,5024.93875,0.47058823529411764
74119,OK,4.0,3.0,1.0,9000.0,38,9000.0,0.25
74120,OK,23.0,22.0,10.0,39237.11,38,3923.7110000000002,0.43478260869565216
74126,OK,207.0,183.0,67.0,217319.74,77,3243.5782089552235,0.32367149758454106
74127,OK,333.0,290.0,133.0,689590.89,169,5184.893909774436,0.3993993993993994
74128,OK,44.0,35.0,7.0,40731.32,38,5818.76,0.1590909090909091
74129,OK,82.0,68.0,23.0,72847.64,38,3167.288695652174,0.2804878048780488
74130,OK,49.0,43.0,18.0,140657.69999999998,38,7814.316666666666,0.3673469387755102
74131,OK,3.0,2.0,1.0,2886.51,46,2886.51,0.3333333333333333
74132,OK,25.0,22.0,5.0,25353.739999999998,84,5070.748,0.2
74133,OK,357.0,336.0,185.0,1194665.05,92,6457.648918918919,0.5182072829131653
74134,OK,41.0,34.0,8.0,42263.05,38,5282.88125,0.1951219512195122
74135,OK,59.0,54.0,18.0,77867.5,38,4325.972222222223,0.3050847457627119
74136,OK,478.0,452.0,276.0,1712070.13,116,6203.152644927536,0.5774058577405857
74137,OK,59.0,47.0,13.0,48464.12,38,3728.009230769231,0.22033898305084745
74138,OK,1.0,1.0,1.0,9000.0,38,9000.0,1.0
74145,OK,82.0,77.0,34.0,193468.99000000002,38,5690.264411764707,0.4146341463414634
74146,OK,52.0,41.0,7.0,21808.4,85,3115.4857142857145,0.1346153846153846
74182,OK,3.0,3.0,3.0,18366.6,38,6122.2,1.0
