disasterNumber,state,county,city,zipcode,totalValidRegistrations,validCallCenterRegistrations,validWebRegistrations,validMobileRegistrations,ihpReferrals,ihpEligible,ihpAmount,haReferrals,haEligible,haAmount,onaReferrals,onaEligible,onaAmount,id,county_type
4222,OK,McCurtain,EAGLETOWN,74734,10.0,9,1,0,7.0,1.0,21054.05,5,1,17058.85,5,1,3995.2,623ecc48cbab24a500f1aa0e,County)
4222,OK,McCurtain,VALLIANT,74764,12.0,8,4,0,12.0,1.0,1928.04,12,1,920,4,1,1008.04,623ecc48cbab24a500f1aa15,County)
4222,OK,McIntosh,EUFAULA,74432,77.0,56,17,4,61.0,22.0,32453.69,60,21,28915.68,19,6,3538.0099999999998,623ecc48cbab24a500f1aa19,County)
4222,OK,McIntosh,HENRYETTA,74437,7.0,3,4,0,6.0,6.0,4079.91,6,6,4079.91,0,0,0,623ecc48cbab24a500f1aa1b,County)
4222,OK,Okfuskee,OKEMAH,74859,89.0,57,27,5,81.0,49.0,144332.38,81,48,138925.61000000002,19,8,5406.77,623ecc48cbab24a500f1aa2a,County)
4222,OK,Oklahoma,CHOCTAW,73020,75.0,44,29,2,54.0,26.0,40401.82,53,25,39178.03,12,2,1223.79,623ecc48cbab24a500f1aa30,County)
4222,OK,Oklahoma,EDMOND,73003,7.0,6,1,0,5.0,5.0,16738.18,5,5,14002.279999999999,4,2,2735.9,623ecc48cbab24a500f1aa33,County)
4222,OK,Oklahoma,EDMOND,73013,7.0,4,3,0,4.0,3.0,1423.4099999999999,4,2,1017.48,1,1,405.93,623ecc48cbab24a500f1aa35,County)
4222,OK,Oklahoma,ELK CITY,73644,1.0,0,1,0,1.0,1.0,30251.56,1,1,30251.56,1,0,0,623ecc48cbab24a500f1aa37,County)
4222,OK,Oklahoma,MCLOUD,74851,2.0,1,1,0,2.0,2.0,1770.26,2,2,1770.26,0,0,0,623ecc48cbab24a500f1aa3b,County)
4222,OK,Oklahoma,NEWALLA,74857,24.0,16,8,0,15.0,8.0,6443.31,15,8,6443.31,2,0,0,623ecc48cbab24a500f1aa40,County)
4222,OK,Oklahoma,OKC,73109,1.0,0,1,0,1.0,0.0,0.0,1,0,0,0,0,0,623ecc48cbab24a500f1aa41,County)
4222,OK,Oklahoma,OKLAHOM CITY,73129,1.0,0,1,0,1.0,0.0,0.0,1,0,0,1,0,0,623ecc48cbab24a500f1aa45,County)
4222,OK,Oklahoma,OKLAHOMA,73129,1.0,0,1,0,1.0,0.0,0.0,1,0,0,0,0,0,623ecc48cbab24a500f1aa46,County)
4222,OK,Oklahoma,OKLAHOMA CITIY,73110,1.0,0,1,0,1.0,1.0,6819.67,1,1,6819.67,1,0,0,623ecc48cbab24a500f1aa49,County)
4222,OK,Oklahoma,OKLAHOMA CITY,73102,2.0,1,1,0,2.0,1.0,1168.0,2,1,1168,0,0,0,623ecc48cbab24a500f1aa4a,County)
4222,OK,Oklahoma,OKLAHOMA CITY,73116,4.0,2,2,0,3.0,2.0,2446.2200000000003,3,2,2446.2200000000003,1,0,0,623ecc48cbab24a500f1aa57,County)
4222,OK,Oklahoma,OKLAHOMA CITY,73118,21.0,13,8,0,18.0,5.0,15369.789999999999,17,3,2586.46,13,4,12783.33,623ecc48cbab24a500f1aa59,County)
4222,OK,Oklahoma,OKLAHOMA CITY,73119,165.0,123,31,11,156.0,97.0,332860.5,149,68,197545.36000000002,123,71,135315.13999999998,623ecc48cbab24a500f1aa5a,County)
4222,OK,Oklahoma,OKLAHOMA CITY,73120,14.0,4,10,0,11.0,5.0,27890.07,9,4,24910.99,5,2,2979.08,623ecc48cbab24a500f1aa5b,County)
4222,OK,Oklahoma,OKLAHOMA CITY,73121,4.0,3,1,0,4.0,2.0,4740.53,4,2,4740.53,0,0,0,623ecc48cbab24a500f1aa5c,County)
4222,OK,Oklahoma,OKLAHOMA CITY,73127,27.0,17,7,3,25.0,10.0,35200.15,24,8,32371.74,13,4,2828.41,623ecc48cbab24a500f1aa5e,County)
4222,OK,Oklahoma,OKLAHOMA CITY,73130,18.0,10,7,1,14.0,5.0,4361.62,14,4,2172.39,4,2,2189.23,623ecc48cbab24a500f1aa61,County)
4222,OK,Oklahoma,OKLAHOMA CITY,73149,12.0,8,2,2,10.0,2.0,871.7,10,2,871.7,2,0,0,623ecc48cbab24a500f1aa69,County)
4222,OK,Oklahoma,OKLAHOMA CITY,73162,6.0,4,2,0,4.0,0.0,0.0,4,0,0,0,0,0,623ecc48cbab24a500f1aa6d,County)
